,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,PJ
53,Cristhian Stuani,uy URU,DL,37-154,,5,726.0,8.1,7.0,2.0,9.0,7.0,0.0,0.0,5.0,0.0,7.5,7.5,1.3,8.8,3.0,4.0,23.0,0.87,0.25,1.12,0.87,1.12,0.93,0.16,1.09,0.93,1.09,Partidos,26.0
54,Juanpe,es ESP,DF,32-319,,5,600.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.0,0.2,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Partidos,13.0
55,Pablo Torre,es ESP,"CC,DL",20-346,,3,507.0,5.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,1.4,13.0,45.0,27.0,0.0,0.36,0.36,0.0,0.36,0.11,0.14,0.25,0.11,0.25,Partidos,19.0
56,Valery Fernández,es ESP,"CC,DF",24-112,,2,452.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,0.6,1.3,18.0,9.0,44.0,0.4,0.0,0.4,0.4,0.4,0.14,0.12,0.25,0.14,0.25,Partidos,21.0
57,Jhon Solis,co COL,CC,19-163,,1,256.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.3,1.2,6.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.33,0.11,0.44,0.33,0.44,Partidos,14.0
58,Antal Yaakobishvili,hu HUN,DF,19-246,,0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.37,Partidos,1.0
59,Ibrahima Kebe,ml MLI,CC,23-225,,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,2.0
60,Bernardo Espinosa,co COL,DF,34-247,,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,2.0
61,Silvi Clúa,es ESP,CC,19-045,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,1.0
62,Jastin García,es ESP,CC,20-059,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,1.0
63,Juan Carlos,es ESP,PO,36-054,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,Partidos,0.0
64,Iker Almena,es ESP,DL,19-315,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,0.0
65,Ricard Artero,es ESP,CC,21-038,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,0.0
66,Santiago Bueno,uy URU,DF,25-126,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,0.0
67,Toni Fuidias,es ESP,PO,22-334,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,0.0
68,Borja García,es ESP,"DL,CC",33-133,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,0.0
69,Eric Monjonell,es ESP,DF,22-089,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,0.0
70,Manu Vallejo,es ESP,"DL,CC",27-029,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,0.0
71,Total del equipo,,,26.7,,308,2520.0,28.0,59.0,46.0,105.0,56.0,3.0,3.0,56.0,1.0,47.8,45.4,37.6,83.0,655.0,1202.0,1192.0,2.11,1.64,3.75,2.0,3.64,1.71,1.34,3.05,1.62,2.97,,28.0
72,Total del oponente,,,28.0,,308,2520.0,28.0,33.0,23.0,56.0,31.0,2.0,3.0,71.0,3.0,38.0,35.6,26.3,61.9,460.0,937.0,928.0,1.18,0.82,2.0,1.11,1.93,1.36,0.94,2.29,1.27,2.21,,28.0
73,İlkay Gündoğan,de GER,CC,33-142,28.0,25,2275.0,25.3,5.0,6.0,11.0,4.0,1.0,2.0,3.0,0.0,6.0,4.5,8.8,13.3,62.0,168.0,96.0,0.2,0.24,0.44,0.16,0.4,0.24,0.35,0.59,0.18,0.52,Partidos,
74,Robert Lewandowski,pl POL,DL,35-206,26.0,23,2067.0,23.0,12.0,6.0,18.0,9.0,3.0,3.0,4.0,0.0,15.2,12.8,3.5,16.3,31.0,46.0,133.0,0.52,0.26,0.78,0.39,0.65,0.66,0.15,0.81,0.56,0.71,Partidos,
75,Jules Koundé,fr FRA,DF,25-123,25.0,23,2060.0,22.9,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.9,1.9,1.4,3.2,44.0,160.0,37.0,0.04,0.09,0.13,0.04,0.13,0.08,0.06,0.14,0.08,0.14,Partidos,
76,João Cancelo,pt POR,DF,29-292,24.0,22,1873.0,20.8,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.3,1.3,4.9,6.3,87.0,104.0,128.0,0.1,0.14,0.24,0.1,0.24,0.06,0.24,0.3,0.06,0.3,Partidos,
77,Andreas Christensen,dk DEN,"DF,CC",27-339,22.0,21,1579.0,17.5,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.1,1.8,19.0,95.0,4.0,0.0,0.11,0.11,0.0,0.11,0.04,0.06,0.1,0.04,0.1,Partidos,
78,Frenkie de Jong,nl NED,CC,26-307,19.0,19,1590.0,17.7,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.7,0.7,2.2,2.9,69.0,166.0,38.0,0.11,0.0,0.11,0.11,0.11,0.04,0.12,0.16,0.04,0.16,Partidos,
79,Marc-André ter Stegen,de GER,PO,31-319,18.0,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
80,Ronald Araújo,uy URU,DF,25-007,20.0,17,1608.0,17.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.4,1.4,0.7,2.1,23.0,88.0,9.0,0.06,0.0,0.06,0.06,0.06,0.08,0.04,0.12,0.08,0.12,Partidos,
81,João Félix,pt POR,DL,24-125,21.0,16,1206.0,13.4,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,6.2,6.2,2.8,9.0,55.0,52.0,139.0,0.37,0.15,0.52,0.37,0.52,0.47,0.21,0.67,0.47,0.67,Partidos,
