,Jugador,País,Posc,Edad,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
59,Marc-André ter Stegen,de GER,PO,31-319,18.0,681.0,517.0,670.0,12.0,0.0,0.0,681.0,0.0,0.0,,0.0,,441.0,2173.0,1617.0,0.0,0.0,0.0,0.0,0.0,386.0,0.0,Partidos
60,Ronald Araújo,uy URU,DF,25-007,17.9,1446.0,126.0,575.0,802.0,81.0,23.0,1446.0,11.0,8.0,72.7,2.0,18.2,939.0,5093.0,3101.0,23.0,14.0,2.0,13.0,4.0,1071.0,9.0,Partidos
61,João Félix,pt POR,DL,24-125,13.4,711.0,8.0,68.0,265.0,385.0,80.0,711.0,73.0,23.0,31.5,41.0,56.2,473.0,2886.0,1593.0,55.0,43.0,24.0,35.0,23.0,584.0,139.0,Partidos
62,Alejandro Balde,es ESP,DF,20-148,15.3,979.0,35.0,215.0,394.0,384.0,40.0,979.0,53.0,20.0,37.7,20.0,37.7,567.0,3770.0,2213.0,73.0,36.0,20.0,32.0,16.0,664.0,141.0,Partidos
63,Lamine Yamal,es ESP,DL,16-245,16.4,959.0,11.0,88.0,282.0,608.0,91.0,959.0,101.0,47.0,46.5,30.0,29.7,670.0,4548.0,2706.0,83.0,48.0,36.0,40.0,17.0,730.0,204.0,Partidos
64,Pedri,es ESP,"CC,DL",21-110,12.1,926.0,14.0,120.0,494.0,322.0,27.0,926.0,25.0,11.0,44.0,12.0,48.0,548.0,3327.0,1723.0,35.0,31.0,6.0,25.0,9.0,725.0,56.0,Partidos
65,Raphinha,br BRA,"DL,CC",27-091,10.1,626.0,4.0,53.0,225.0,354.0,62.0,626.0,35.0,17.0,48.6,15.0,42.9,369.0,2065.0,1147.0,38.0,16.0,15.0,27.0,7.0,445.0,129.0,Partidos
66,Gavi,es ESP,"CC,DL",19-222,10.5,678.0,27.0,108.0,394.0,181.0,18.0,678.0,22.0,12.0,54.5,8.0,36.4,424.0,2231.0,1170.0,26.0,24.0,3.0,19.0,11.0,479.0,38.0,Partidos
67,Ferrán Torres,es ESP,DL,24-014,10.4,471.0,4.0,30.0,192.0,254.0,48.0,471.0,18.0,8.0,44.4,9.0,50.0,264.0,1435.0,645.0,24.0,18.0,12.0,28.0,12.0,375.0,89.0,Partidos
68,Iñaki Peña,es ESP,PO,25-012,10.0,314.0,279.0,313.0,1.0,0.0,0.0,314.0,0.0,0.0,,0.0,,187.0,792.0,437.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,Partidos
69,Oriol Romeu,es ESP,CC,32-172,8.4,767.0,21.0,119.0,511.0,138.0,4.0,767.0,4.0,3.0,75.0,1.0,25.0,458.0,1906.0,982.0,8.0,21.0,0.0,7.0,7.0,585.0,3.0,Partidos
70,Iñigo Martínez,es ESP,DF,32-302,8.8,772.0,72.0,315.0,433.0,28.0,8.0,772.0,0.0,0.0,,0.0,,493.0,3016.0,2134.0,17.0,10.0,0.0,2.0,0.0,560.0,2.0,Partidos
71,Pau Cubarsí,es ESP,DF,17-052,8.1,789.0,94.0,395.0,376.0,18.0,0.0,789.0,1.0,1.0,100.0,0.0,0.0,541.0,2571.0,1274.0,7.0,3.0,0.0,2.0,2.0,608.0,0.0,Partidos
72,Fermin López,es ESP,"CC,DL",20-308,8.9,491.0,7.0,55.0,244.0,195.0,38.0,491.0,24.0,15.0,62.5,6.0,25.0,289.0,1463.0,772.0,19.0,17.0,5.0,32.0,16.0,352.0,46.0,Partidos
73,Sergi Roberto,es ESP,"CC,DF",32-036,4.0,248.0,3.0,32.0,145.0,73.0,18.0,248.0,0.0,0.0,,0.0,,135.0,875.0,440.0,6.0,6.0,2.0,5.0,2.0,183.0,19.0,Partidos
74,Marcos Alonso,es ESP,DF,33-077,1.8,162.0,5.0,31.0,73.0,59.0,7.0,162.0,4.0,3.0,75.0,1.0,25.0,105.0,556.0,273.0,8.0,7.0,2.0,1.0,2.0,110.0,26.0,Partidos
75,Vitor Roque,br BRA,DL,19-015,2.2,85.0,4.0,9.0,24.0,53.0,16.0,85.0,11.0,4.0,36.4,6.0,54.5,49.0,348.0,218.0,7.0,4.0,3.0,6.0,4.0,58.0,16.0,Partidos
76,Héctor Fort,es ESP,DF,17-225,1.1,74.0,6.0,25.0,22.0,27.0,2.0,74.0,1.0,0.0,0.0,1.0,100.0,41.0,139.0,47.0,1.0,1.0,0.0,0.0,2.0,46.0,12.0,Partidos
77,Marc Guiu,es ESP,"DL,CC",18-070,0.8,20.0,0.0,0.0,10.0,10.0,4.0,20.0,0.0,0.0,,0.0,,13.0,47.0,13.0,1.0,1.0,1.0,3.0,2.0,16.0,8.0,Partidos
78,Abdessamad Ezzalzouli,ma MAR,"DL,CC",22-088,0.8,54.0,0.0,2.0,13.0,39.0,7.0,54.0,4.0,2.0,50.0,2.0,50.0,41.0,302.0,143.0,7.0,3.0,4.0,4.0,2.0,43.0,12.0,Partidos
79,Eric García,es ESP,DF,23-065,0.6,53.0,2.0,18.0,33.0,2.0,1.0,53.0,0.0,0.0,,0.0,,34.0,171.0,114.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,Partidos
80,Ansu Fati,es ESP,"CC,DL",21-135,0.6,42.0,0.0,1.0,16.0,25.0,5.0,42.0,3.0,1.0,33.3,1.0,33.3,32.0,266.0,157.0,6.0,4.0,2.0,1.0,1.0,35.0,5.0,Partidos
81,Total del equipo,,,26.7,28.0,21112.0,1651.0,5423.0,10361.0,5504.0,803.0,21107.0,616.0,294.0,47.7,236.0,38.3,13114.0,72904.0,41675.0,756.0,566.0,187.0,465.0,227.0,15529.0,1390.0,
82,Total del oponente,,,27.6,28.0,12895.0,1909.0,4754.0,5156.0,3127.0,530.0,12895.0,426.0,198.0,46.5,186.0,43.7,6312.0,34480.0,17097.0,345.0,279.0,108.0,343.0,251.0,7361.0,740.0,
83,Jan Oblak,si SVN,PO,31-067,28.0,801.0,746.0,801.0,0.0,0.0,0.0,801.0,1.0,1.0,100.0,0.0,0.0,405.0,2129.0,1246.0,0.0,0.0,0.0,1.0,1.0,306.0,0.0,Partidos
84,Axel Witsel,be BEL,DF,35-062,23.7,1710.0,230.0,874.0,776.0,64.0,18.0,1710.0,8.0,5.0,62.5,3.0,37.5,1130.0,5266.0,2642.0,17.0,15.0,0.0,12.0,6.0,1195.0,7.0,Partidos
85,Mario Hermoso,es ESP,DF,28-270,22.6,1790.0,121.0,648.0,940.0,216.0,20.0,1790.0,17.0,10.0,58.8,4.0,23.5,1021.0,4372.0,2453.0,27.0,28.0,0.0,18.0,9.0,1209.0,52.0,Partidos
86,Antoine Griezmann,fr FRA,"DL,CC",32-359,21.6,1237.0,24.0,141.0,582.0,524.0,89.0,1234.0,35.0,22.0,62.9,12.0,34.3,649.0,2826.0,1407.0,31.0,22.0,4.0,33.0,17.0,892.0,151.0,Partidos
87,Koke,es ESP,CC,32-066,18.6,1764.0,57.0,417.0,1128.0,225.0,9.0,1764.0,6.0,2.0,33.3,4.0,66.7,1076.0,4359.0,2012.0,19.0,17.0,1.0,17.0,16.0,1361.0,20.0,Partidos
88,Marcos Llorente,es ESP,"CC,DF",29-044,20.8,1056.0,35.0,212.0,450.0,401.0,59.0,1056.0,22.0,8.0,36.4,10.0,45.5,612.0,3086.0,1573.0,52.0,31.0,14.0,20.0,14.0,749.0,130.0,Partidos
89,Álvaro Morata,es ESP,DL,31-143,18.5,527.0,25.0,77.0,207.0,247.0,102.0,526.0,34.0,16.0,47.1,15.0,44.1,297.0,1349.0,539.0,15.0,11.0,11.0,37.0,29.0,370.0,78.0,Partidos
90,Rodrigo De Paul,ar ARG,CC,29-295,16.8,1368.0,22.0,207.0,805.0,372.0,33.0,1368.0,42.0,24.0,57.1,13.0,31.0,914.0,5715.0,2913.0,55.0,52.0,10.0,27.0,8.0,1064.0,43.0,Partidos
