,player,GP,minutes,goals per 90,assists per 90,xG,shots per 90,shots target 90,completed pass,short completed pass,med completed pass,long completed pass,xA,tackle wit ball rec,% duel won,interceptions per 90,loose balls recovered 90,% aerials duels won
248,Bryan Zaragoza,,1638,0.33,0.11,3.8,1.81,0.99,55.9,78.4,52.8,30.1,4.2,0.49,34.8,0.16,3.08,30.8
249,Gonzalo Villar,,1419,0.06,0.19,1.6,0.89,0.19,81.9,90.8,82.6,62.4,1.4,1.65,57.6,0.38,7.22,62.5
250,Óscar Melendo,,972,0.0,0.0,0.4,0.56,0.19,80.5,89.5,82.4,66.7,1.0,0.46,33.3,0.46,4.35,31.6
265,Édgar González,24.0,1990,0.09,0.0,2.2,0.54,0.14,84.8,90.3,90.4,57.7,0.2,0.77,52.8,1.22,3.12,57.4
266,Adri Embarba,26.0,1719,0.05,0.0,2.2,2.09,0.79,63.7,84.2,67.0,36.3,2.5,1.26,45.7,0.52,5.39,37.5
267,Lucas Robertone,24.0,1678,0.0,0.27,0.8,1.61,0.54,77.9,88.2,82.7,56.3,1.8,1.45,48.6,1.83,6.4,57.9
268,Dion Lopy,26.0,1717,0.0,0.0,1.0,0.94,0.26,83.6,85.4,88.4,79.2,0.7,1.83,38.5,0.73,7.17,78.9
269,Sergio Arribas,28.0,1751,0.31,0.15,7.0,2.62,0.87,77.2,86.5,84.1,38.7,2.5,0.77,44.4,0.67,3.95,43.9
270,Iddrisu Baba,22.0,1379,0.0,0.0,0.7,0.52,0.13,82.9,84.1,88.3,77.6,0.4,1.63,43.2,0.72,7.78,63.0
271,Largie Ramazani,25.0,1323,0.2,0.27,4.0,2.31,0.75,59.1,71.0,61.9,44.4,2.0,0.48,23.1,1.7,4.49,12.5
272,Gonzalo Melero,22.0,931,0.0,0.1,1.7,1.16,0.29,82.0,85.9,88.5,63.6,0.9,0.68,42.9,0.39,3.2,40.0
273,Alejandro Pozo Pozo,17.0,845,0.0,0.0,0.4,0.43,0.32,73.7,87.2,73.6,50.0,0.8,1.06,55.6,0.53,4.89,40.0
274,Luis Javier Suárez,10.0,718,0.5,0.0,5.5,3.89,1.38,76.5,79.4,86.2,78.6,0.5,0.5,25.0,0.0,2.12,25.0
