,Jugador,País,Posc,Edad,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
601,Jonathan Viera,es ESP,CC,34-142,2.3,3.0,0,1.0,2.0,0.0,3.0,5.0,60.0,2.0,0.0,0.0,0.0,0,3.0,0.0,0.0,Partidos
602,Lázaro,br BRA,"DL,CC",21-365,3.2,4.0,1,2.0,0.0,2.0,2.0,8.0,25.0,6.0,4.0,0.0,4.0,1,5.0,1.0,0.0,Partidos
603,Ibrahima Koné,ml MLI,DL,24-269,2.9,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,1.0,4.0,0.0,Partidos
604,Fernando,es ESP,PO,33-275,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,Partidos
605,Luka Romero,ar ARG,DL,19-114,1.7,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,5.0,0.0,5.0,0,1.0,1.0,0.0,Partidos
606,Marko Milovanović,rs SRB,"DL,CC",20-220,2.5,2.0,2,0.0,2.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0,2.0,4.0,0.0,Partidos
607,Srđan Babić,rs SRB,DF,27-324,1.0,2.0,2,0.0,2.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0,2.0,2.0,0.0,Partidos
608,Diego Mariño,es ESP,PO,33-307,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Partidos
609,Marciano Sanca,gw GNB,"DL,CC",20-008,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
610,Rachad Fettal,ma MAR,DL,19-055,0.2,,0,,,,,,,,,,,0,,,,Partidos
611,Total del equipo,,,26.1,27.0,469.0,269,269.0,158.0,42.0,205.0,426.0,48.1,221.0,308.0,100.0,208.0,209,678.0,586.0,9.0,
612,Total del oponente,,,27.7,27.0,422.0,260,191.0,161.0,70.0,237.0,449.0,52.8,212.0,253.0,78.0,175.0,191,613.0,510.0,9.0,
