,Jugador,País,Posc,Edad,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
95,Pablo Barrios,es ESP,CC,20-273,12.6,3,0,0,15,17,0,10,22,18,0.0,0.0,0,78.0,9.0,9.0,50.0,Partidos
96,Rodrigo Riquelme,es ESP,"DF,CC",23-347,11.7,1,0,0,7,19,6,44,6,10,0.0,1.0,0,63.0,3.0,11.0,21.4,Partidos
97,César Azpilicueta,es ESP,DF,34-199,10.6,3,0,0,22,8,0,8,12,12,0.0,0.0,0,57.0,14.0,17.0,45.2,Partidos
98,José María Giménez,uy URU,DF,29-054,8.7,4,0,0,12,1,0,1,8,6,0.0,0.0,0,37.0,17.0,12.0,58.6,Partidos
99,Memphis,nl NED,DL,30-030,8.1,2,0,0,13,13,6,10,1,2,0.0,0.0,0,20.0,4.0,11.0,26.7,Partidos
100,Ángel Correa,ar ARG,"DL,CC",29-005,9.8,1,0,0,6,17,8,19,1,9,0.0,0.0,0,46.0,4.0,10.0,28.6,Partidos
101,Reinildo Mandava,mz MOZ,DF,30-053,4.6,1,0,0,6,3,0,2,9,13,0.0,0.0,0,33.0,10.0,8.0,55.6,Partidos
102,Gabriel Paulista,br BRA,DF,33-109,4.0,0,0,0,2,0,0,0,4,4,0.0,0.0,0,18.0,12.0,6.0,66.7,Partidos
103,Yannick Carrasco,be BEL,DF,30-192,2.5,0,0,0,2,2,1,8,1,4,0.0,0.0,0,15.0,0.0,1.0,0.0,Partidos
104,Thomas Lemar,fr FRA,CC,28-123,1.8,0,0,0,3,2,0,6,0,1,0.0,0.0,0,5.0,0.0,2.0,0.0,Partidos
105,Çağlar Söyüncü,tr TUR,DF,27-296,1.3,0,1,0,3,1,1,0,1,1,0.0,1.0,0,9.0,1.0,0.0,100.0,Partidos
106,Arthur Vermeeren,be BEL,CC,19-036,0.9,1,0,0,5,1,0,0,5,0,0.0,0.0,0,11.0,1.0,3.0,25.0,Partidos
107,Javi Galán,es ESP,DF,29-116,1.0,1,0,0,1,4,0,6,1,4,0.0,0.0,0,7.0,3.0,1.0,75.0,Partidos
108,Salim El Jebari,ma MAR,CC,20-038,0.1,0,0,0,1,0,0,1,0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,Partidos
109,Total del equipo,,,29.8,28.0,63,3,2,307,319,92,469,202,298,4.0,2.0,0,1470.0,328.0,290.0,53.1,
110,Total del oponente,,,27.6,28.0,54,2,0,335,286,30,564,217,251,1.0,5.0,1,1436.0,288.0,327.0,46.8,
111,Unai Simón,es ESP,PO,26-277,28.0,2,0,0,0,7,0,0,1,1,0.0,0.0,0,37.0,6.0,0.0,100.0,Partidos
112,Daniel Vivian,es ESP,DF,24-243,24.7,6,0,0,31,22,1,2,21,23,0.0,0.0,0,174.0,22.0,36.0,37.9,Partidos
113,Gorka Guruzeta,es ESP,DL,27-184,20.7,2,0,0,37,22,11,10,16,17,1.0,1.0,0,73.0,69.0,84.0,45.1,Partidos
114,Aitor Paredes,es ESP,DF,23-320,23.7,5,0,0,29,7,0,1,22,9,0.0,0.0,0,113.0,52.0,29.0,64.2,Partidos
115,Iñaki Williams,gh GHA,DL,29-273,23.6,3,0,0,21,33,21,89,12,14,0.0,0.0,0,98.0,25.0,16.0,61.0,Partidos
116,Oihan Sancet,es ESP,CC,23-324,18.9,3,2,1,27,29,2,23,7,11,0.0,0.0,0,87.0,22.0,15.0,59.5,Partidos
117,Nico Williams,es ESP,DL,21-246,18.0,5,1,1,14,27,10,113,3,10,3.0,0.0,0,96.0,4.0,8.0,33.3,Partidos
118,Iñigo Ruiz de Galarreta,es ESP,CC,30-221,18.2,4,0,0,43,31,0,49,10,27,0.0,0.0,1,113.0,21.0,21.0,50.0,Partidos
119,Óscar de Marcos,es ESP,DF,34-335,18.5,4,0,0,18,12,2,82,10,36,0.0,0.0,0,96.0,11.0,7.0,61.1,Partidos
120,Yuri Berchiche,es ESP,DF,34-033,16.7,3,0,0,25,28,0,37,17,19,0.0,0.0,1,102.0,30.0,16.0,65.2,Partidos
121,Iñigo Lekue,es ESP,DF,30-315,15.0,4,0,0,13,3,0,28,8,14,0.0,0.0,0,94.0,10.0,6.0,62.5,Partidos
122,Mikel Vesga,es ESP,CC,30-298,13.9,2,0,0,25,3,0,10,25,13,0.0,0.0,0,94.0,26.0,27.0,49.1,Partidos
123,Álex Berenguer,es ESP,DL,28-254,12.3,4,0,0,20,15,10,106,4,9,0.0,0.0,0,50.0,19.0,30.0,38.8,Partidos
